timestamps population node_ids
723.993 v1 225
710.685 v1 225
699.704 v1 225
684.43 v1 225
672.217 v1 225
659.31 v1 225
645.466 v1 225
635.632 v1 225
626.299 v1 225
873.286 v1 225
1942.591 v1 225
890.811 v1 225
954.952 v1 225
1201.366 v1 225
1186.928 v1 225
1171.548 v1 225
1156.091 v1 225
1132.588 v1 225
1110.428 v1 225
1095.878 v1 225
1080.57 v1 225
1059.871 v1 225
1048.473 v1 225
1032.842 v1 225
1015.123 v1 225
993.791 v1 225
975.139 v1 225
964.976 v1 225
908.478 v1 225
829.894 v1 226
1955.33 v1 225
1987.85 v1 225
2995.903 v1 225
2979.668 v1 225
2967.194 v1 225
2959.007 v1 225
2950.075 v1 225
2922.877 v1 225
63.51 v1 226
2908.148 v1 225
2868.164 v1 225
2854.114 v1 225
2788.278 v1 225
2776.516 v1 225
2759.755 v1 225
2743.602 v1 225
2887.44 v1 225
99.238 v1 226
138.41 v1 226
168.151 v1 226
746.939 v1 226
717.355 v1 226
704.7 v1 226
670.334 v1 226
628.757 v1 226
597.007 v1 226
554.852 v1 226
540.157 v1 226
529.855 v1 226
517.077 v1 226
476.419 v1 226
349.589 v1 226
325.28 v1 226
263.953 v1 226
236.3 v1 226
2731.678 v1 225
2722.31 v1 225
2709.097 v1 225
2684.642 v1 225
2264.426 v1 225
2231.782 v1 225
2222.41 v1 225
2213.447 v1 225
2194.644 v1 225
2178.245 v1 225
2152.451 v1 225
2139.368 v1 225
2125.704 v1 225
2116.357 v1 225
2098.237 v1 225
2082.14 v1 225
2053.983 v1 225
2014.767 v1 225
2002.559 v1 225
2291.592 v1 225
1975.24 v1 225
2312.719 v1 225
2354.863 v1 225
2650.67 v1 225
2640.426 v1 225
2627.981 v1 225
2613.62 v1 225
2601.029 v1 225
2579.338 v1 225
2566.889 v1 225
2542.118 v1 225
2475.272 v1 225
2463.519 v1 225
2454.188 v1 225
2443.372 v1 225
2433.379 v1 225
2403.309 v1 225
2383.505 v1 225
2333.597 v1 225
2751.021 v1 222
2738.672 v1 222
2728.412 v1 222
627.8 v1 219
589.181 v1 219
534.117 v1 219
514.764 v1 219
485.869 v1 219
345.53 v1 219
665.549 v1 219
223.645 v1 219
