timestamps population node_ids
1863.809 v1 198
1900.851 v1 198
1948.252 v1 198
1974.0 v1 198
1986.885 v1 198
2000.385 v1 198
2011.034 v1 198
2056.423 v1 198
2102.643 v1 198
2121.135 v1 198
2141.885 v1 198
2161.872 v1 198
2188.7 v1 198
2215.086 v1 198
2224.963 v1 198
2234.241 v1 198
2247.925 v1 198
2267.765 v1 198
2325.613 v1 198
2433.224 v1 198
615.846 v1 199
632.106 v1 199
650.053 v1 199
1713.978 v1 199
1728.601 v1 199
1760.551 v1 199
1849.507 v1 199
1864.361 v1 199
1906.904 v1 199
1932.79 v1 199
1950.67 v1 199
1986.919 v1 199
2002.676 v1 199
2015.187 v1 199
2057.52 v1 199
2104.398 v1 199
2126.765 v1 199
2145.559 v1 199
2221.816 v1 199
2232.754 v1 199
2267.828 v1 199
2326.679 v1 199
2354.33 v1 199
2389.478 v1 199
2436.401 v1 199
2446.193 v1 199
2458.296 v1 199
2469.036 v1 199
2482.244 v1 199
2567.062 v1 199
1698.691 v1 199
1663.085 v1 199
1609.087 v1 199
1592.407 v1 199
680.394 v1 199
708.882 v1 199
719.082 v1 199
763.927 v1 199
828.193 v1 199
845.201 v1 199
872.265 v1 199
912.618 v1 199
955.892 v1 199
965.594 v1 199
977.287 v1 199
1054.414 v1 199
1089.35 v1 199
1596.435 v1 198
1105.739 v1 199
1201.057 v1 199
1218.07 v1 199
1232.398 v1 199
1250.579 v1 199
1285.085 v1 199
1341.748 v1 199
1372.562 v1 199
1417.698 v1 199
1437.687 v1 199
1450.238 v1 199
1493.799 v1 199
1513.05 v1 199
1573.3 v1 199
1168.925 v1 199
1276.187 v1 197
1569.721 v1 198
1486.659 v1 198
1980.735 v1 197
1990.934 v1 197
2002.327 v1 197
2011.671 v1 197
2057.997 v1 197
2090.188 v1 197
2114.566 v1 197
2132.008 v1 197
2145.274 v1 197
2164.246 v1 197
2193.69 v1 197
2215.325 v1 197
2223.689 v1 197
2232.778 v1 197
2244.862 v1 197
2260.713 v1 197
2270.911 v1 197
2291.162 v1 197
2325.512 v1 197
2352.336 v1 197
2436.356 v1 197
2447.077 v1 197
2459.202 v1 197
2471.964 v1 197
2482.831 v1 197
2535.437 v1 197
2566.427 v1 197
1963.993 v1 197
2580.093 v1 197
1946.218 v1 197
1879.867 v1 197
1317.952 v1 197
1342.499 v1 197
1372.298 v1 197
1387.203 v1 197
1416.797 v1 197
1434.951 v1 197
1445.54 v1 197
1458.194 v1 197
1474.206 v1 197
1489.235 v1 197
1499.505 v1 197
1509.908 v1 197
1572.348 v1 197
1597.655 v1 197
1616.14 v1 197
1629.841 v1 197
1657.006 v1 197
1680.415 v1 197
1704.401 v1 197
1721.389 v1 197
1729.806 v1 197
1741.529 v1 197
1755.574 v1 197
1765.524 v1 197
1783.105 v1 197
1846.161 v1 197
1859.316 v1 197
1901.476 v1 197
2607.421 v1 197
2636.607 v1 197
2653.022 v1 197
733.709 v1 198
757.609 v1 198
774.848 v1 198
825.774 v1 198
841.039 v1 198
876.347 v1 198
950.762 v1 198
961.23 v1 198
972.54 v1 198
1023.988 v1 198
1047.582 v1 198
1068.283 v1 198
1102.208 v1 198
1159.422 v1 198
1181.455 v1 198
1210.956 v1 198
1221.73 v1 198
1232.735 v1 198
1245.79 v1 198
1274.135 v1 198
1339.23 v1 198
1369.089 v1 198
1379.964 v1 198
1410.773 v1 198
1435.87 v1 198
1446.208 v1 198
1470.108 v1 198
718.313 v1 198
708.428 v1 198
679.562 v1 198
654.591 v1 198
2688.743 v1 197
2722.306 v1 197
2733.997 v1 197
2750.103 v1 197
2765.001 v1 197
2780.578 v1 197
2789.954 v1 197
2825.568 v1 197
2859.935 v1 197
2876.663 v1 197
2908.926 v1 197
2948.198 v1 197
2960.441 v1 197
1502.131 v1 198
2970.378 v1 197
2990.673 v1 197
59.856 v1 198
110.302 v1 198
153.207 v1 198
231.656 v1 198
267.987 v1 198
374.771 v1 198
486.8 v1 198
514.738 v1 198
531.808 v1 198
549.302 v1 198
591.449 v1 198
626.038 v1 198
2980.774 v1 197
1337.935 v1 195
1283.433 v1 195
1240.3 v1 195
1978.409 v1 192
1988.923 v1 192
1997.703 v1 192
2005.955 v1 192
2013.493 v1 192
2025.773 v1 192
2048.984 v1 192
2062.423 v1 192
2086.43 v1 192
2104.457 v1 192
2118.733 v1 192
2128.641 v1 192
2138.327 v1 192
2146.859 v1 192
2156.91 v1 192
2177.876 v1 192
2198.48 v1 192
2216.347 v1 192
2225.541 v1 192
2232.522 v1 192
2239.524 v1 192
2248.377 v1 192
2262.078 v1 192
2277.318 v1 192
2297.829 v1 192
2325.231 v1 192
2341.435 v1 192
1958.553 v1 192
2359.93 v1 192
1944.947 v1 192
1902.976 v1 192
1491.891 v1 192
1504.497 v1 192
1513.877 v1 192
1572.32 v1 192
1585.318 v1 192
1597.84 v1 192
1607.903 v1 192
1618.06 v1 192
1630.407 v1 192
1648.313 v1 192
1665.068 v1 192
1679.392 v1 192
1691.757 v1 192
1702.427 v1 192
1713.343 v1 192
1724.532 v1 192
1732.075 v1 192
1745.946 v1 192
1757.031 v1 192
1765.322 v1 192
1775.949 v1 192
1787.82 v1 192
1806.405 v1 192
1839.96 v1 192
1856.813 v1 192
1869.23 v1 192
1887.347 v1 192
1920.286 v1 192
2389.1 v1 192
2436.136 v1 192
2445.722 v1 192
2968.121 v1 192
2977.232 v1 192
2986.12 v1 192
2994.495 v1 192
68.552 v1 193
95.803 v1 193
137.114 v1 193
229.607 v1 193
250.173 v1 193
278.269 v1 193
353.572 v1 193
498.949 v1 193
520.639 v1 193
534.664 v1 193
548.909 v1 193
580.996 v1 193
601.318 v1 193
627.009 v1 193
639.702 v1 193
659.412 v1 193
673.699 v1 193
707.164 v1 193
718.138 v1 193
744.003 v1 193
771.609 v1 193
796.596 v1 193
822.905 v1 193
2958.638 v1 192
2941.756 v1 192
2904.108 v1 192
2879.642 v1 192
2453.946 v1 192
2461.439 v1 192
2468.756 v1 192
2476.793 v1 192
2485.526 v1 192
2501.749 v1 192
2536.545 v1 192
2561.432 v1 192
